URL/path,robots.txt rule,Meta robots,X-Robots-Tag,Sitemap inclusion,Intended indexability,Actual indexability,Issue,Recommended fix
/,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/top-viewed,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/our-story,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/our-team,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/faqs,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/contact,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/how-it-works,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/authentication,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/policies,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/why,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/sell-your-saree,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/packing,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/policies/privacy-policy,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/policies/return-refund-policy,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/policies/shipping-delivery-policy,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/policies/terms-of-service,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/policies/authentication-condition-policy,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/policies/care-packaging-policy,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/policies/cancellation-policy,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/policies/sell-with-us-policy,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/policies/grievance-redressal,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection/fabric/silk,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/blouses,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/guides/what-is-a-pre-loved-saree,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/guides/pre-loved-vs-second-hand-saree,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection/tangerine-noir-floral-border-weave,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection/sunset-ombr-chiffon-draped-dream,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection/indigo-plum-tied-silk-saree,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection/forest-flame-tie-dye-silk,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection/moonstone-cream-mauve-border-saree,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection/marigold-moss-cotton,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
/collection/midnight-garden-georgette-saree,Allow: /,"index, follow",,yes,index,indexable/crawlable,,
