Source URL,Target URL,Anchor text,Link location,Follow/nofollow,Target status,Target canonical,Target in sitemap,Issue,Notes
/,/,Skip to main content,body,follow,200,https://www.fromthetrunk.shop,yes,,Rendered anchor; external targets were not fetched.
/,/,From the Trunk,header/nav,follow,200,https://www.fromthetrunk.shop,yes,,Rendered anchor; external targets were not fetched.
/,/collection,Collection,header/nav,follow,200,https://www.fromthetrunk.shop/collection,yes,,Rendered anchor; external targets were not fetched.
/,/collection?tags=top-viewed,Top Viewed,header/nav,follow,200,https://www.fromthetrunk.shop/collection,no,Primary navigation targets noindex URL,Rendered anchor; external targets were not fetched.
/,/collection?type=blouse,Blouses,header/nav,follow,200,https://www.fromthetrunk.shop/collection,no,Primary navigation targets noindex URL,Rendered anchor; external targets were not fetched.
/,/account/sign-in,Sign in,header/nav,follow,200,,no,Primary navigation targets noindex URL,Rendered anchor; external targets were not fetched.
/,/account/wishlist,Liked products,header/nav,follow,200,,no,Primary navigation targets noindex URL,Rendered anchor; external targets were not fetched.
/,/collection,The Collection,footer,follow,200,https://www.fromthetrunk.shop/collection,yes,,Rendered anchor; external targets were not fetched.
/,/our-story,Our Story,footer,follow,200,https://www.fromthetrunk.shop/our-story,yes,,Rendered anchor; external targets were not fetched.
/,/why,Our Why,footer,follow,200,https://www.fromthetrunk.shop/why,yes,,Rendered anchor; external targets were not fetched.
/,/how-it-works,How It Works,footer,follow,200,https://www.fromthetrunk.shop/how-it-works,yes,,Rendered anchor; external targets were not fetched.
/,/faqs,FAQs,footer,follow,200,https://www.fromthetrunk.shop/faqs,yes,,Rendered anchor; external targets were not fetched.
/,/sell-your-saree,Sell Your Saree,footer,follow,200,https://www.fromthetrunk.shop/sell-your-saree,yes,,Rendered anchor; external targets were not fetched.
/,/our-team,Our Team,footer,follow,200,https://www.fromthetrunk.shop/our-team,yes,,Rendered anchor; external targets were not fetched.
/,/policies/shipping-delivery-policy,Shipping,footer,follow,200,https://www.fromthetrunk.shop/policies/shipping-delivery-policy,yes,,Rendered anchor; external targets were not fetched.
/,/packing,Packing,footer,follow,200,https://www.fromthetrunk.shop/packing,yes,,Rendered anchor; external targets were not fetched.
/,/policies/return-refund-policy,Returns & Refunds,footer,follow,200,https://www.fromthetrunk.shop/policies/return-refund-policy,yes,,Rendered anchor; external targets were not fetched.
/,/how-it-works,Authentication,footer,follow,200,https://www.fromthetrunk.shop/how-it-works,yes,,Rendered anchor; external targets were not fetched.
/,/contact,Contact Support,footer,follow,200,https://www.fromthetrunk.shop/contact,yes,,Rendered anchor; external targets were not fetched.
/,/policies/privacy-policy,Privacy Policy,footer,follow,200,https://www.fromthetrunk.shop/policies/privacy-policy,yes,,Rendered anchor; external targets were not fetched.
/,/policies/terms-of-service,Terms of Service,footer,follow,200,https://www.fromthetrunk.shop/policies/terms-of-service,yes,,Rendered anchor; external targets were not fetched.
/,/collection,The Collection,footer,follow,200,https://www.fromthetrunk.shop/collection,yes,,Rendered anchor; external targets were not fetched.
/,/our-story,Our Story,footer,follow,200,https://www.fromthetrunk.shop/our-story,yes,,Rendered anchor; external targets were not fetched.
/,/why,Our Why,footer,follow,200,https://www.fromthetrunk.shop/why,yes,,Rendered anchor; external targets were not fetched.
/,/how-it-works,How It Works,footer,follow,200,https://www.fromthetrunk.shop/how-it-works,yes,,Rendered anchor; external targets were not fetched.
/,/faqs,FAQs,footer,follow,200,https://www.fromthetrunk.shop/faqs,yes,,Rendered anchor; external targets were not fetched.
/,/sell-your-saree,Sell Your Saree,footer,follow,200,https://www.fromthetrunk.shop/sell-your-saree,yes,,Rendered anchor; external targets were not fetched.
/,/our-team,Our Team,footer,follow,200,https://www.fromthetrunk.shop/our-team,yes,,Rendered anchor; external targets were not fetched.
/,/policies/shipping-delivery-policy,Shipping,footer,follow,200,https://www.fromthetrunk.shop/policies/shipping-delivery-policy,yes,,Rendered anchor; external targets were not fetched.
/,/packing,Packing,footer,follow,200,https://www.fromthetrunk.shop/packing,yes,,Rendered anchor; external targets were not fetched.
/,/policies/return-refund-policy,Returns & Refunds,footer,follow,200,https://www.fromthetrunk.shop/policies/return-refund-policy,yes,,Rendered anchor; external targets were not fetched.
/,/how-it-works,Authentication,footer,follow,200,https://www.fromthetrunk.shop/how-it-works,yes,,Rendered anchor; external targets were not fetched.
/,/contact,Contact Support,footer,follow,200,https://www.fromthetrunk.shop/contact,yes,,Rendered anchor; external targets were not fetched.
/,/policies/privacy-policy,Privacy Policy,footer,follow,200,https://www.fromthetrunk.shop/policies/privacy-policy,yes,,Rendered anchor; external targets were not fetched.
/,/policies/terms-of-service,Terms of Service,footer,follow,200,https://www.fromthetrunk.shop/policies/terms-of-service,yes,,Rendered anchor; external targets were not fetched.
/,/privacy-policy,Privacy policy,body,follow,200,https://www.fromthetrunk.shop/policies/privacy-policy,no,,Rendered anchor; external targets were not fetched.
/,/collection,Explore Collection,body,follow,200,https://www.fromthetrunk.shop/collection,yes,,Rendered anchor; external targets were not fetched.
/,/our-story,Our Story,body,follow,200,https://www.fromthetrunk.shop/our-story,yes,,Rendered anchor; external targets were not fetched.
/,/collection,Explore re-stored pieces,body,follow,200,https://www.fromthetrunk.shop/collection,yes,,Rendered anchor; external targets were not fetched.
/,/our-story,Read the full story,body,follow,200,https://www.fromthetrunk.shop/our-story,yes,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=kota-cotton,"Light & airyKota, chiffon, organza",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=cotton,"Everyday easeCotton, cotton silk",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=kanjeevaram,"CeremonialKanjeevaram, silk",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=georgette,"Soft flowGeorgette, chiffon",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=organza,Modern volumeOrganza,body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=georgette,"Fabric 01GeorgetteBest for fluid movement and evening easeChoose georgette when you want a graceful fall, soft pleats, and a saree that feels dressed without feeling heavy.Explore fabric",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=cotton,"Fabric 02CottonBest for warm days and everyday eleganceCotton is breathable, grounded, and easy to wear for daytime gatherings, workwear, and relaxed heritage styling.Explore fabric",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=kanjeevaram,"Fabric 03KanjeevaramBest for weddings and ceremonial presencePick Kanjeevaram for structure, rich silk weight, zari detail, and a saree that holds a formal silhouette beautifully.Explore fabric",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=silk,"Fabric 04SilkBest for timeless polish and soft sheenSilk brings luminosity and refinement, making it a dependable choice for festive dinners, family events, and heirloom dressing.Explore fabric",body,follow,200,https://www.fromthetrunk.shop/collection,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=kota-cotton,"Fabric 05Kota CottonBest for feather-light summer drapesKota cotton feels airy and crisp, with a light grid texture that suits warm weather and understated occasion wear.Explore fabric",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=chiffon,"Fabric 06ChiffonBest for soft flow and delicate stylingChiffon is sheer, light, and feminine, ideal when you want a saree that moves gently and keeps the look minimal.Explore fabric",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=kanjeevaram-mix,Fabric 07Kanjeevaram MixBest for festive richness with easier wearA Kanjeevaram mix keeps the celebratory mood but can feel lighter and more flexible for long events.Explore fabric,body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=organza,"Fabric 08OrganzaBest for sculpted volume and modern occasion looksOrganza has a crisp, sheer body that creates shape and drama while still feeling light on the shoulder.Explore fabric",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=cotton-silk,"Fabric 09Cotton SilkBest for comfort with a refined finishCotton silk balances breathable ease with a soft sheen, making it versatile for day-to-evening dressing.Explore fabric",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=georgette,"Fabric 01GeorgetteBest for fluid movement and evening easeChoose georgette when you want a graceful fall, soft pleats, and a saree that feels dressed without feeling heavy.Explore fabric",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=cotton,"Fabric 02CottonBest for warm days and everyday eleganceCotton is breathable, grounded, and easy to wear for daytime gatherings, workwear, and relaxed heritage styling.Explore fabric",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=kanjeevaram,"Fabric 03KanjeevaramBest for weddings and ceremonial presencePick Kanjeevaram for structure, rich silk weight, zari detail, and a saree that holds a formal silhouette beautifully.Explore fabric",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=silk,"Fabric 04SilkBest for timeless polish and soft sheenSilk brings luminosity and refinement, making it a dependable choice for festive dinners, family events, and heirloom dressing.Explore fabric",body,follow,200,https://www.fromthetrunk.shop/collection,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=kota-cotton,"Fabric 05Kota CottonBest for feather-light summer drapesKota cotton feels airy and crisp, with a light grid texture that suits warm weather and understated occasion wear.Explore fabric",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
/,/collection?fabric=chiffon,"Fabric 06ChiffonBest for soft flow and delicate stylingChiffon is sheer, light, and feminine, ideal when you want a saree that moves gently and keeps the look minimal.Explore fabric",body,follow,not crawled,,no,,Rendered anchor; external targets were not fetched.
